RK,Player,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
-,Neemias QuetaBOS,C,62,13.9,5.0,2.1,3.3,65.0,0.0,0.0,0.0,0.7,1.0,75.4,3.8,0.7,0.3,0.7,0.6,0,0
-,Alondes WilliamsDET,G,1,4.0,5.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
-,Trevelin QueenORL,SG,31,13.9,4.9,1.8,4.7,38.1,0.7,2.5,28.6,0.6,0.7,85.7,1.7,1.2,1.0,0.3,0.7,0,0
-,Marvin Bagley IIIWSH/MEM,F,19,8.7,4.9,2.0,3.7,53.5,0.1,0.5,20.0,0.8,1.2,65.2,2.9,0.4,0.4,0.3,0.6,0,0
-,Jaylen MartinWSH/BKN,G,16,14.9,4.9,1.9,4.6,41.9,0.4,1.4,30.4,0.6,0.6,90.0,2.8,1.1,0.6,0.0,0.8,0,0
-,David RoddyATL/PHI/HOU,F,30,12.5,4.7,1.7,3.7,46.4,0.6,1.8,33.3,0.6,0.7,81.8,2.6,1.1,0.5,0.3,0.7,0,0
-,Julian PhillipsCHI,F,79,14.2,4.6,1.6,3.6,44.6,0.6,1.9,32.7,0.8,1.0,78.9,2.1,0.5,0.5,0.3,0.3,0,0
-,Pelle LarssonMIA,G,55,14.2,4.6,1.6,3.7,43.8,0.6,1.7,33.7,0.7,1.1,67.2,1.7,1.2,0.6,0.1,0.4,0,0
-,Dalen TerryCHI,F,73,13.5,4.5,1.6,3.7,44.8,0.5,1.4,35.6,0.7,0.9,71.0,1.7,1.3,0.6,0.2,0.7,0,0
-,Jett HowardORL,G,60,11.7,4.5,1.6,4.4,37.4,0.9,3.1,29.6,0.3,0.4,69.6,1.2,0.7,0.2,0.2,0.6,0,0
-,Reggie JacksonPHI,PG,31,12.4,4.4,1.7,4.3,39.1,0.8,2.4,33.8,0.2,0.3,77.8,1.4,1.5,0.5,0.1,0.5,0,0
